Lista de numeros: 
<1>,  Valor: 0.002442598925256473
<198>,  Valor: 0.08011724474841231
<199>,  Valor: 0.32193453834880315
<200>,  Valor: 0.3312164142647777
<201>,  Valor: 0.600390815828041
<202>,  Valor: 0.4025403028822667
<203>,  Valor: 0.6678065461651197
<204>,  Valor: 0.35661944308744503
<205>,  Valor: 0.336590131900342
<206>,  Valor: 0.756228627259404
<207>,  Valor: 0.9198827552515877
<208>,  Valor: 0.6634098680996581
<209>,  Valor: 0.22911577918905715
<210>,  Valor: 0.6409379579872985
<211>,  Valor: 0.5779189057156815
<212>,  Valor: 0.7513434294088911
<213>,  Valor: 0.7782120175867122
<214>,  Valor: 0.5569125549584758
<215>,  Valor: 0.14215925744992672
<216>,  Valor: 0.12017586712261846
<217>,  Valor: 0.48314606741573035
<218>,  Valor: 0.0039081582804103565
<219>,  Valor: 0.11284807034684904
<220>,  Valor: 0.2706399609184172
<221>,  Valor: 0.8446507083536883
<222>,  Valor: 0.48265754763067903
<223>,  Valor: 0.9902296042989741
<224>,  Valor: 0.7024914509037616
<225>,  Valor: 0.3619931607230093
<226>,  Valor: 0.4924279433317049
<227>,  Valor: 0.2730825598436737
<228>,  Valor: 0.9154860771861261
<229>,  Valor: 0.5359062042012701
<230>,  Valor: 0.5334636052760137
<231>,  Valor: 0.462628236443576
<232>,  Valor: 0.40937957987298484
<233>,  Valor: 0.8661455788959452
<234>,  Valor: 0.10552027357107963
<235>,  Valor: 0.05813385442110405
<236>,  Valor: 0.684904738641915
<237>,  Valor: 0.852467024914509
<238>,  Valor: 0.7093307278944797
<239>,  Valor: 0.5603321934538349
<240>,  Valor: 0.24132877381533951
<241>,  Valor: 0.995114802149487
<242>,  Valor: 0.844162188568637
<243>,  Valor: 0.4684904738641915
<244>,  Valor: 0.5793844650708354
<245>,  Valor: 0.7938446507083536
<246>,  Valor: 0.009770395701025891
<247>,  Valor: 0.2828529555446996
<248>,  Valor: 0.1983390327308256
<249>,  Valor: 0.7489008304836345
<250>,  Valor: 0.7073766487542745
<251>,  Valor: 0.5036638983878847
<252>,  Valor: 0.5989252564728872
<253>,  Valor: 0.3600390815828041
<254>,  Valor: 0.43575964826575475
<255>,  Valor: 0.6306790425012213
<256>,  Valor: 0.2804103566194431
<257>,  Valor: 0.12750366389838788
<258>,  Valor: 0.6956521739130435
<259>,  Valor: 0.16365412799218368
<260>,  Valor: 0.7435271128480704
<261>,  Valor: 0.5515388373229115
<262>,  Valor: 0.986809965803615
<263>,  Valor: 0.6033219345383488
<264>,  Valor: 0.487542745481192
<265>,  Valor: 0.13141182217879824
<266>,  Valor: 0.8089887640449438
<267>,  Valor: 0.44894968246213973
<268>,  Valor: 0.012701514411333659
<269>,  Valor: 0.36785539814362483
<270>,  Valor: 0.6624328285295554
<271>,  Valor: 0.20078163165608207
<272>,  Valor: 0.8197361993160723
<273>,  Valor: 0.7606253053248656
<274>,  Valor: 0.04689789936492428
<275>,  Valor: 0.35906204201270153
<276>,  Valor: 0.40742550073277967
<277>,  Valor: 0.8094772838299951
<278>,  Valor: 0.46311675622862725
<279>,  Valor: 0.4235466536394724
<280>,  Valor: 0.2765021983390327
<281>,  Valor: 0.014167073766487542
<282>,  Valor: 0.41035661944308743
<283>,  Valor: 0.8944797264289204
<284>,  Valor: 0.9272105520273571
<285>,  Valor: 0.8759159745969711
<286>,  Valor: 0.3888617489008305
<287>,  Valor: 0.2711284807034685
<288>,  Valor: 0.8588177821201759
<289>,  Valor: 0.8935026868588177
<290>,  Valor: 0.898876404494382
<291>,  Valor: 0.0542256961406937
<292>,  Valor: 0.5715681485100147
<293>,  Valor: 0.567171470444553
<294>,  Valor: 0.4396678065461651
<295>,  Valor: 0.7440156326331216
<296>,  Valor: 0.5657059110893992
<297>,  Valor: 0.3971665852467025
<298>,  Valor: 0.5119687347337567
<299>,  Valor: 0.8397655105031754
<300>,  Valor: 0.3409868099658036
<301>,  Valor: 0.8837322911577918
<302>,  Valor: 0.6155349291646312
<303>,  Valor: 0.8417195896433806
<304>,  Valor: 0.3976551050317538
<305>,  Valor: 0.5261358085002442
<306>,  Valor: 0.2501221299462628
<307>,  Valor: 0.24963361016121152
<308>,  Valor: 0.23546653639472398
<309>,  Valor: 0.8251099169516365
<310>,  Valor: 0.9164631167562286
<311>,  Valor: 0.5642403517342452
<312>,  Valor: 0.35466536394723985
<313>,  Valor: 0.2799218368343918
<314>,  Valor: 0.11333659013190034
<315>,  Valor: 0.28480703468490476
<316>,  Valor: 0.25500732779677576
<317>,  Valor: 0.391304347826087
<318>,  Valor: 0.3419638495359062
<319>,  Valor: 0.912066438690767
<320>,  Valor: 0.43673668783585734
<321>,  Valor: 0.6590131900341963
<322>,  Valor: 0.10161211529066927
<323>,  Valor: 0.945285784074255
<324>,  Valor: 0.39960918417195895
<325>,  Valor: 0.5828041035661944
<326>,  Valor: 0.8930141670737665
<327>,  Valor: 0.8847093307278945
<328>,  Valor: 0.6438690766976063
<329>,  Valor: 0.6629213483146067
<330>,  Valor: 0.2149487054225696
<331>,  Valor: 0.23009281875915974
<332>,  Valor: 0.6692721055202736
<333>,  Valor: 0.3991206643869077
<334>,  Valor: 0.5686370297997069
<335>,  Valor: 0.48216902784562776
<336>,  Valor: 0.9760625305324866
<337>,  Valor: 0.2916463116756229
<338>,  Valor: 0.45334636052760136
<339>,  Valor: 0.14020517830972154
<340>,  Valor: 0.0635075720566683
<341>,  Valor: 0.8407425500732779
<342>,  Valor: 0.3693209574987787
<343>,  Valor: 0.7049340498290181
<344>,  Valor: 0.432828529555447
<345>,  Valor: 0.545676599902296
<346>,  Valor: 0.8168050806057645
<347>,  Valor: 0.6756228627259404
<348>,  Valor: 0.5832926233512458
<349>,  Valor: 0.907181240840254
<350>,  Valor: 0.2950659501709819
<351>,  Valor: 0.5525158768930142
<352>,  Valor: 0.014655593551538837
<353>,  Valor: 0.424523693209575
<354>,  Valor: 0.3048363458720078
<355>,  Valor: 0.835857352222765
<356>,  Valor: 0.22765021983390327
<357>,  Valor: 0.5984367366878358
<358>,  Valor: 0.34587200781631655
<359>,  Valor: 0.024914509037616023
<360>,  Valor: 0.7220322423058134
<361>,  Valor: 0.9286761113825109
<362>,  Valor: 0.9184171958964338
<363>,  Valor: 0.6209086468001954
<364>,  Valor: 0.9975574010747436
<365>,  Valor: 0.9149975574010747
<366>,  Valor: 0.5217391304347826
<367>,  Valor: 0.12261846604787494
<368>,  Valor: 0.5539814362481681
<369>,  Valor: 0.057156814851001464
<370>,  Valor: 0.6565705911089399
<371>,  Valor: 0.030776746458231558
<372>,  Valor: 0.8920371275036639
<373>,  Valor: 0.8563751831949193
<374>,  Valor: 0.82266731802638
<375>,  Valor: 0.8456277479237909
<376>,  Valor: 0.5109916951636542
<377>,  Valor: 0.8114313629702002
<378>,  Valor: 0.5197850512945774
<379>,  Valor: 0.06595017098192477
<380>,  Valor: 0.9115779189057157
<381>,  Valor: 0.4225696140693698
<382>,  Valor: 0.24816805080605764
<383>,  Valor: 0.19296531509526135
<384>,  Valor: 0.5930630190522717
<385>,  Valor: 0.19003419638495359
<386>,  Valor: 0.5080605764533463
<387>,  Valor: 0.726428920371275
<388>,  Valor: 0.05569125549584758
<389>,  Valor: 0.6140693698094772
<390>,  Valor: 0.7992183683439179
<391>,  Valor: 0.16560820713238886
<392>,  Valor: 0.8001954079140206
<393>,  Valor: 0.19394235466536394
<394>,  Valor: 0.6213971665852467
<395>,  Valor: 0.011235955056179775
<396>,  Valor: 0.3253541768441622
<397>,  Valor: 0.43038593063019054
<398>,  Valor: 0.4748412310698583
<399>,  Valor: 0.7635564240351734
<400>,  Valor: 0.13190034196384953
<401>,  Valor: 0.8231558378114313
<402>,  Valor: 0.8597948216902784
<403>,  Valor: 0.9218368343917929
<404>,  Valor: 0.7200781631656082
<405>,  Valor: 0.8720078163165608
<406>,  Valor: 0.27552515876893013
<407>,  Valor: 0.9863214460185638
<408>,  Valor: 0.5891548607718613
<409>,  Valor: 0.07669760625305325
<410>,  Valor: 0.22276502198339032
<411>,  Valor: 0.45676599902296044
<412>,  Valor: 0.23937469467513434
<413>,  Valor: 0.9384465070835368
<414>,  Valor: 0.20127015144113336
<415>,  Valor: 0.8339032730825598
<416>,  Valor: 0.1709819247679531
<417>,  Valor: 0.9560332193453834
<418>,  Valor: 0.7112848070346849
<419>,  Valor: 0.6170004885197851
<420>,  Valor: 0.8842208109428432
<421>,  Valor: 0.6297020029311187
<422>,  Valor: 0.252076209086468
<423>,  Valor: 0.3063019052271617
<424>,  Valor: 0.8783585735222277
<425>,  Valor: 0.4596971177332682
<426>,  Valor: 0.3243771372740596
<427>,  Valor: 0.40205178309721545
<428>,  Valor: 0.6536394723986322
<429>,  Valor: 0.9462628236443575
<430>,  Valor: 0.42794333170493404
<431>,  Valor: 0.40400586223742063
<432>,  Valor: 0.7103077674645824
<433>,  Valor: 0.5886663409868099
<434>,  Valor: 0.0625305324865657
<435>,  Valor: 0.8124084025403029
<436>,  Valor: 0.5481191988275526
<437>,  Valor: 0.8876404494382022
<438>,  Valor: 0.7288715192965315
<439>,  Valor: 0.1265266243282853
<440>,  Valor: 0.6673180263800684
<441>,  Valor: 0.3424523693209575
<442>,  Valor: 0.9262335124572545
<443>,  Valor: 0.8475818270639961
<444>,  Valor: 0.5676599902296043
<445>,  Valor: 0.4538348803126527
<446>,  Valor: 0.15437225207620908
<447>,  Valor: 0.47435271128480705
<448>,  Valor: 0.7493893502686859
<449>,  Valor: 0.721543722520762
<450>,  Valor: 0.9145090376160234
<451>,  Valor: 0.5075720566682951
<452>,  Valor: 0.7122618466047875
<453>,  Valor: 0.6453346360527601
<454>,  Valor: 0.7054225696140694
<455>,  Valor: 0.44699560332193455
<456>,  Valor: 0.9565217391304348
<457>,  Valor: 0.7254518808011724
<458>,  Valor: 0.027357107962872496
<459>,  Valor: 0.7928676111382511
<460>,  Valor: 0.9819247679531021
<461>,  Valor: 0.4616511968734734
<462>,  Valor: 0.38104543234000976
<463>,  Valor: 0.044455300439667805
<464>,  Valor: 0.2882266731802638
<465>,  Valor: 0.3541768441621886
<466>,  Valor: 0.26575476306790424
<467>,  Valor: 0.7029799706888129
<468>,  Valor: 0.3761602344894968
<469>,  Valor: 0.9032730825598436
<470>,  Valor: 0.18172936003908158
<471>,  Valor: 0.26722032242305815
<472>,  Valor: 0.7454811919882756
<473>,  Valor: 0.6082071323888617
<474>,  Valor: 0.6292134831460674
<475>,  Valor: 0.23790913531998045
<476>,  Valor: 0.8959452857840743
<477>,  Valor: 0.9697117733268197
<478>,  Valor: 0.1074743527112848
<479>,  Valor: 0.11480214948705422
<480>,  Valor: 0.32730825598436736
<481>,  Valor: 0.4870542256961407
<482>,  Valor: 0.1172447484123107
<483>,  Valor: 0.3981436248168051
<484>,  Valor: 0.5403028822667318
<485>,  Valor: 0.6609672691744015
<486>,  Valor: 0.15828041035661944
<487>,  Valor: 0.5876893014167074
<488>,  Valor: 0.03419638495359062
<489>,  Valor: 0.9912066438690766
<490>,  Valor: 0.7308255984367367
<491>,  Valor: 0.18319491939423546
<492>,  Valor: 0.30972154372252075
<493>,  Valor: 0.9775280898876404
<494>,  Valor: 0.3341475329750855
<495>,  Valor: 0.6853932584269663
<496>,  Valor: 0.8666340986809966
<497>,  Valor: 0.11968734733756717
<498>,  Valor: 0.4689789936492428
<499>,  Valor: 0.5935515388373229
<500>,  Valor: 0.20420127015144113
<501>,  Valor: 0.918905715681485
<502>,  Valor: 0.6350757205666829
<503>,  Valor: 0.407914020517831
<504>,  Valor: 0.8236443575964827
<505>,  Valor: 0.873961895456766
<506>,  Valor: 0.3321934538348803
<507>,  Valor: 0.6287249633610161
<508>,  Valor: 0.2237420615534929
<509>,  Valor: 0.48510014655593553
<510>,  Valor: 0.060576453346360526
<511>,  Valor: 0.7557401074743527
<512>,  Valor: 0.9057156814851002
<513>,  Valor: 0.2525647288715193
<514>,  Valor: 0.32046897899364923
<515>,  Valor: 0.2887151929653151
<516>,  Valor: 0.3683439179286761
<517>,  Valor: 0.6765999022960429
<518>,  Valor: 0.6116267708842208
<519>,  Valor: 0.7283829995114802
<520>,  Valor: 0.11235955056179775
<521>,  Valor: 0.2564728871519297
<522>,  Valor: 0.4338055691255496
<523>,  Valor: 0.5740107474352711
<524>,  Valor: 0.6380068392769908
<525>,  Valor: 0.49291646311675624
<526>,  Valor: 0.2872496336101612
<527>,  Valor: 0.3258426966292135
<528>,  Valor: 0.44455300439667805
<529>,  Valor: 0.885686370297997
<530>,  Valor: 0.6722032242305813
<531>,  Valor: 0.48412310698583294
<532>,  Valor: 0.03224230581338544
<533>,  Valor: 0.9345383488031265
<534>,  Valor: 0.08793356130923302
<535>,  Valor: 0.5486077186126038
<536>,  Valor: 0.9018075232046898
<537>,  Valor: 0.13922813873961895
<538>,  Valor: 0.03517342452369321
<539>,  Valor: 0.019052271617000488
<540>,  Valor: 0.5520273571079629
<541>,  Valor: 0.0004885197850512946
<542>,  Valor: 0.013678553981436248
<543>,  Valor: 0.3961895456765999
<544>,  Valor: 0.4836345872007816
<545>,  Valor: 0.0180752320468979
<546>,  Valor: 0.5236932095749878
<547>,  Valor: 0.1792867611138251
<548>,  Valor: 0.19638495359062041
<549>,  Valor: 0.6922325354176844
<550>,  Valor: 0.06448461162677088
<551>,  Valor: 0.8690766976062531
<552>,  Valor: 0.19052271617000488
<553>,  Valor: 0.5222276502198339
<554>,  Valor: 0.13678553981436248
<555>,  Valor: 0.9648265754763068
<556>,  Valor: 0.9662921348314607
<557>,  Valor: 0.008304836345872008
<558>,  Valor: 0.24035173424523693
<559>,  Valor: 0.966780654616512
<560>,  Valor: 0.02247191011235955
<561>,  Valor: 0.6511968734733756
<562>,  Valor: 0.8754274548119199
<563>,  Valor: 0.37469467513434296
<564>,  Valor: 0.8607718612603811
<565>,  Valor: 0.9501709819247679
<566>,  Valor: 0.5412799218368344
<567>,  Valor: 0.6893014167073767
<568>,  Valor: 0.979970688812897
<569>,  Valor: 0.4049829018075232
<570>,  Valor: 0.7386419149975574
<571>,  Valor: 0.40986809965803617
<572>,  Valor: 0.8803126526624329
<573>,  Valor: 0.5163654127992183
<574>,  Valor: 0.9672691744015632
<575>,  Valor: 0.03663898387884709
<576>,  Valor: 0.061553492916463115
<577>,  Valor: 0.7840742550073277
<578>,  Valor: 0.7269174401563263
<579>,  Valor: 0.06985832926233512
<580>,  Valor: 0.024425989252564728
<581>,  Valor: 0.7078651685393258
<582>,  Valor: 0.5178309721543722
<583>,  Valor: 0.009281875915974597
<584>,  Valor: 0.268685881778212
<585>,  Valor: 0.7879824132877381
<586>,  Valor: 0.8402540302882266
<587>,  Valor: 0.3551538837322912
<588>,  Valor: 0.2940889106008793
<589>,  Valor: 0.524181729360039
<590>,  Valor: 0.19345383488031265
<591>,  Valor: 0.6072300928187592
<592>,  Valor: 0.6008793356130924
<593>,  Valor: 0.4167073766487543
<594>,  Valor: 0.07816316560820713
<595>,  Valor: 0.265266243282853
<596>,  Valor: 0.6888128969223254
<597>,  Valor: 0.9658036150464093
<598>,  Valor: 0.9946262823644357
<599>,  Valor: 0.8299951148021495
<600>,  Valor: 0.05764533463605276
<601>,  Valor: 0.6707376648754274
<602>,  Valor: 0.4416218856863703
<603>,  Valor: 0.8006839276990718
<604>,  Valor: 0.20810942843185148
<605>,  Valor: 0.03175378602833415
<606>,  Valor: 0.920371275036639
<607>,  Valor: 0.6775769418661456
<608>,  Valor: 0.6399609184171959
<609>,  Valor: 0.5495847581827064
<610>,  Valor: 0.9301416707376648
<611>,  Valor: 0.9609184171958964
<612>,  Valor: 0.8529555446995604
<613>,  Valor: 0.7234978016609672
<614>,  Valor: 0.9711773326819736
<615>,  Valor: 0.14997557401074743
<616>,  Valor: 0.34684904738641914
<617>,  Valor: 0.05324865657059111
<618>,  Valor: 0.5432340009770396
<619>,  Valor: 0.7459697117733268
<620>,  Valor: 0.6223742061553493
<621>,  Valor: 0.03957010258915486
<622>,  Valor: 0.14655593551538837
<623>,  Valor: 0.24767953102100634
<624>,  Valor: 0.1787982413287738
<625>,  Valor: 0.18221787982413287
<626>,  Valor: 0.28138739618954567
<627>,  Valor: 0.15583781143136297
<628>,  Valor: 0.5168539325842697
<629>,  Valor: 0.9814362481680508
<630>,  Valor: 0.4474841231069858
<631>,  Valor: 0.9706888128969223
<632>,  Valor: 0.1358085002442599
<633>,  Valor: 0.9364924279433317
<634>,  Valor: 0.1446018563751832
<635>,  Valor: 0.19101123595505617
<636>,  Valor: 0.5363947239863215
<637>,  Valor: 0.5476306790425012
<638>,  Valor: 0.8734733756717147
<639>,  Valor: 0.3180263800683928
<640>,  Valor: 0.21787982413287738
<641>,  Valor: 0.315095261358085
<642>,  Valor: 0.13287738153395212
<643>,  Valor: 0.8514899853444065
<644>,  Valor: 0.6809965803615047
<645>,  Valor: 0.7391304347826086
<646>,  Valor: 0.4240351734245237
<647>,  Valor: 0.2906692721055203
<648>,  Valor: 0.42501221299462627
<649>,  Valor: 0.3190034196384954
<650>,  Valor: 0.24621397166585246
<651>,  Valor: 0.13629702002931118
<652>,  Valor: 0.9506595017098193
<653>,  Valor: 0.5554469956033219
<654>,  Valor: 0.09965803615046409
<655>,  Valor: 0.8886174890083048
<656>,  Valor: 0.7572056668295066
<657>,  Valor: 0.9482169027845627
<658>,  Valor: 0.4846116267708842
<659>,  Valor: 0.046409379579872984
<660>,  Valor: 0.34489496824621396
<661>,  Valor: 0.9970688812896922
<662>,  Valor: 0.9008304836345872
<663>,  Valor: 0.11089399120664387
<664>,  Valor: 0.21397166585246702
<665>,  Valor: 0.20175867122618465
<666>,  Valor: 0.8480703468490474
<667>,  Valor: 0.5818270639960919
<668>,  Valor: 0.8646800195407914
<669>,  Valor: 0.063019052271617
<670>,  Valor: 0.8265754763067904
<671>,  Valor: 0.9589643380556913
<672>,  Valor: 0.7962872496336102
<673>,  Valor: 0.0806057645334636
<674>,  Valor: 0.33610161211529066
<675>,  Valor: 0.7420615534929165
<676>,  Valor: 0.509037616023449
<677>,  Valor: 0.7547630679042501
<678>,  Valor: 0.877381533952125
<679>,  Valor: 0.4313629702002931
<680>,  Valor: 0.5031753786028335
<681>,  Valor: 0.5847581827063996
<682>,  Valor: 0.9496824621397166
<683>,  Valor: 0.5271128480703469
<684>,  Valor: 0.2784562774792379
<685>,  Valor: 0.07083536883243771
<686>,  Valor: 0.05276013678553981
<687>,  Valor: 0.529066927210552
<688>,  Valor: 0.33512457254518807
<689>,  Valor: 0.7137274059599413
<690>,  Valor: 0.6878358573522227
<691>,  Valor: 0.9374694675134343
<692>,  Valor: 0.17293600390815828
<693>,  Valor: 0.012212994626282364
<694>,  Valor: 0.35368832437713726
<695>,  Valor: 0.25158768930141673
<696>,  Valor: 0.29213483146067415
<697>,  Valor: 0.4675134342940889
<698>,  Valor: 0.5510503175378603
<699>,  Valor: 0.9726428920371275
<700>,  Valor: 0.19247679531021006
<701>,  Valor: 0.578895945285784
<702>,  Valor: 0.7796775769418661
<703>,  Valor: 0.5994137762579385
<704>,  Valor: 0.37420615534929164
<705>,  Valor: 0.8466047874938935
<706>,  Valor: 0.5393258426966292
<707>,  Valor: 0.6326331216414265
<708>,  Valor: 0.33707865168539325
<709>,  Valor: 0.7703957010258915
<710>,  Valor: 0.3302393746946751
<711>,  Valor: 0.572056668295066
<712>,  Valor: 0.5813385442110406
<713>,  Valor: 0.8505129457743038
<714>,  Valor: 0.6526624328285295
<715>,  Valor: 0.9179286761113825
<716>,  Valor: 0.6067415730337079
<717>,  Valor: 0.5867122618466047
<718>,  Valor: 0.005862237420615535
<719>,  Valor: 0.1695163654127992
<720>,  Valor: 0.9135319980459209
<721>,  Valor: 0.47923790913532
<722>,  Valor: 0.8910600879335613
<723>,  Valor: 0.8280410356619443
<724>,  Valor: 0.0009770395701025891
<725>,  Valor: 0.02784562774792379
<726>,  Valor: 0.8070346849047386
<727>,  Valor: 0.39228138739618956
<728>,  Valor: 0.3702979970688813
<729>,  Valor: 0.7332681973619931
<730>,  Valor: 0.2540302882266732
<731>,  Valor: 0.3629702002931119
<732>,  Valor: 0.5207620908646801
<733>,  Valor: 0.09428431851489985
<734>,  Valor: 0.7327796775769418
<735>,  Valor: 0.23986321446018563
<736>,  Valor: 0.9526135808500245
<737>,  Valor: 0.6121152906692721
